b'id',b'key',b'value',b'type'
b'65495714',b'cycleway',b'protected_intersection',b'regular'
b'65495714',b'highway',b'traffic_signals',b'regular'
b'65495716',b'highway',b'priority',b'regular'
b'65495720',b'highway',b'priority',b'regular'
b'65495722',b'highway',b'priority',b'regular'
b'65495727',b'highway',b'traffic_signals',b'regular'
b'65495737',b'highway',b'priority',b'regular'
b'65495739',b'highway',b'priority',b'regular'
b'65495741',b'highway',b'traffic_signals',b'regular'
b'65495745',b'highway',b'priority',b'regular'
b'65495754',b'bus',b'yes',b'regular'
b'65495754',b'name',b'Middlefield Road & Matadero Creek',b'regular'
b'65495754',b'network',b'VTA',b'regular'
b'65495754',b'public_transport',b'stop_position',b'regular'
b'65495760',b'highway',b'traffic_signals',b'regular'
b'65495766',b'highway',b'priority',b'regular'
b'65495876',b'highway',b'turning_circle',b'regular'
b'65496225',b'highway',b'stop',b'regular'
b'65496225',b'stop',b'all',b'regular'
b'65496737',b'highway',b'traffic_signals',b'regular'
b'65496744',b'crossing',b'traffic_signals',b'regular'
b'65496744',b'highway',b'crossing',b'regular'
b'65496744',b'kerb',b'lowered',b'regular'
b'65496748',b'highway',b'priority',b'regular'
b'65496752',b'highway',b'priority',b'regular'
b'65496753',b'highway',b'priority',b'regular'
b'65496754',b'highway',b'priority',b'regular'
b'65496755',b'highway',b'stop',b'regular'
b'65496755',b'stop',b'all',b'regular'
b'65496765',b'highway',b'stop',b'regular'
b'65496765',b'stop',b'all',b'regular'
b'65496777',b'highway',b'stop',b'regular'
b'65496777',b'stop',b'all',b'regular'
b'65496785',b'highway',b'stop',b'regular'
b'65496785',b'stop',b'all',b'regular'
b'65496789',b'highway',b'stop',b'regular'
b'65496789',b'stop',b'all',b'regular'
b'65496795',b'highway',b'stop',b'regular'
b'65496795',b'stop',b'all',b'regular'
b'65497243',b'highway',b'priority',b'regular'
b'65497260',b'highway',b'turning_circle',b'regular'
b'65497324',b'highway',b'turning_circle',b'regular'
b'65498420',b'direction',b'backward',b'regular'
b'65498420',b'highway',b'stop',b'regular'
b'65498420',b'stop',b'minor',b'regular'
b'65498420',b'traffic_sign',b'stop',b'regular'
b'65498442',b'direction',b'forward',b'regular'
b'65498442',b'highway',b'stop',b'regular'
b'65498442',b'stop',b'minor',b'regular'
b'65498442',b'traffic_sign',b'stop',b'regular'
b'65498571',b'highway',b'turning_circle',b'regular'
b'65498755',b'highway',b'turning_circle',b'regular'
b'65499027',b'crossing',b'uncontrolled',b'regular'
b'65499027',b'highway',b'crossing',b'regular'
b'65499027',b'kerb',b'lowered',b'regular'
b'65499522',b'highway',b'turning_circle',b'regular'
b'65499634',b'highway',b'priority',b'regular'
b'65499637',b'highway',b'priority',b'regular'
b'65499640',b'highway',b'priority',b'regular'
b'65499644',b'highway',b'traffic_signals',b'regular'
b'65499653',b'highway',b'priority',b'regular'
b'65499653',b'lane:both',b'parallel',b'parking'
b'65499655',b'lane:both',b'parallel',b'parking'
b'65499689',b'highway',b'priority',b'regular'
b'65499696',b'highway',b'turning_circle',b'regular'
b'65499819',b'highway',b'turning_circle',b'regular'
b'65500091',b'highway',b'priority',b'regular'
b'65500540',b'highway',b'priority',b'regular'
b'65500543',b'highway',b'priority',b'regular'
b'65500545',b'highway',b'priority',b'regular'
b'65500548',b'highway',b'stop',b'regular'
b'65500548',b'stop',b'all',b'regular'
b'65500550',b'highway',b'stop',b'regular'
b'65500550',b'stop',b'all',b'regular'
b'65500561',b'highway',b'stop',b'regular'
b'65500561',b'stop',b'all',b'regular'
b'65500563',b'highway',b'priority',b'regular'
b'65500564',b'highway',b'priority',b'regular'
b'65500575',b'highway',b'stop',b'regular'
b'65500575',b'stop',b'all',b'regular'
b'65500586',b'highway',b'priority',b'regular'
b'65500588',b'highway',b'stop',b'regular'
b'65500588',b'stop',b'all',b'regular'
b'65500590',b'highway',b'stop',b'regular'
b'65500590',b'stop',b'all',b'regular'
b'65500624',b'highway',b'priority',b'regular'
b'65500628',b'direction',b'both',b'regular'
b'65500628',b'highway',b'stop',b'regular'
b'65501369',b'highway',b'turning_circle',b'regular'
b'65501485',b'lane:both',b'parallel',b'parking'
b'65501491',b'crossing',b'uncontrolled',b'regular'
b'65501491',b'highway',b'crossing',b'regular'
b'65501495',b'highway',b'turning_circle',b'regular'
b'65502164',b'highway',b'stop',b'regular'
b'65502164',b'stop',b'all',b'regular'
b'65502323',b'highway',b'turning_circle',b'regular'
b'65502851',b'highway',b'stop',b'regular'
b'65502851',b'stop',b'all',b'regular'
b'65502858',b'highway',b'priority',b'regular'
b'65502859',b'highway',b'priority',b'regular'
b'65502860',b'highway',b'priority',b'regular'
b'65502869',b'highway',b'traffic_signals',b'regular'
b'65503779',b'highway',b'turning_circle',b'regular'
b'65505005',b'lane:both',b'parallel',b'parking'
b'65505007',b'highway',b'stop',b'regular'
b'65505007',b'lane:both',b'parallel',b'parking'
b'65505007',b'stop',b'all',b'regular'
b'65505010',b'lane:both',b'parallel',b'parking'
b'65505014',b'lane:both',b'parallel',b'parking'
b'65505017',b'lane:both',b'parallel',b'parking'
b'65505077',b'highway',b'turning_circle',b'regular'
b'65505838',b'highway',b'turning_circle',b'regular'
b'65506230',b'highway',b'turning_circle',b'regular'
b'65506254',b'highway',b'priority',b'regular'
b'65506256',b'direction',b'both',b'regular'
